Date,Open,High,Low,Close,Volume,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_score
11/14/2023,187.7000,188.1100,186.3000,187.4400,60110000.0000,0.0287,0.8756,0.0958,0.6527
11/15/2023,187.8500,189.5000,187.7800,188.0100,53790000.0000,0.0207,0.8670,0.1123,0.7577
11/16/2023,189.5700,190.9600,188.6500,189.7100,54410000.0000,0.0261,0.8626,0.1113,0.7326
11/17/2023,190.2500,190.3800,188.5700,189.6900,50940000.0000,0.0310,0.8529,0.1161,0.5721
11/20/2023,189.8900,191.9000,189.8800,191.4500,46540000.0000,0.0215,0.9231,0.0554,0.1307
11/21/2023,191.4100,191.5200,189.7400,190.6400,38130000.0000,0.0510,0.8515,0.0976,0.4360
11/22/2023,191.4900,192.9300,190.8200,191.3100,39630000.0000,0.0328,0.8585,0.1088,0.5859
11/24/2023,190.8700,190.9000,189.2500,189.9700,24050000.0000,0.0214,0.8213,0.1574,0.6564
11/27/2023,189.9200,190.6700,188.9000,189.7900,40550000.0000,0.0299,0.8349,0.1353,0.7044
11/28/2023,189.7800,191.0800,189.4000,190.4000,38420000.0000,0.0240,0.8410,0.1349,0.6914
11/29/2023,190.9000,192.0900,188.9700,189.3700,43010000.0000,0.0430,0.8216,0.1354,0.4298
11/30/2023,189.8400,190.3200,188.1900,189.9500,48790000.0000,0.0345,0.8455,0.1199,0.7994
12/1/2023,190.3300,191.5600,189.2300,191.2400,45700000.0000,0.0299,0.8905,0.0797,0.4283
12/4/2023,189.9800,190.0500,187.4500,189.4300,43390000.0000,0.0348,0.8175,0.1476,0.5768
12/5/2023,190.2100,194.4000,190.1800,193.4200,66630000.0000,0.0549,0.8072,0.1380,0.5086
12/6/2023,194.4500,194.7600,192.1100,192.3200,41090000.0000,0.0386,0.8744,0.0870,0.4991
12/7/2023,193.6300,195.0000,193.5900,194.2700,47480000.0000,0.0332,0.8538,0.1130,0.5488
12/8/2023,194.2000,195.9900,193.6700,195.7100,53410000.0000,0.0285,0.8935,0.0780,0.4438
12/11/2023,193.1100,193.4900,191.4200,193.1800,60940000.0000,0.0647,0.8543,0.0810,0.3999
12/12/2023,193.0800,194.7200,191.7200,194.7100,52700000.0000,0.0623,0.8289,0.1089,0.4880
12/13/2023,195.0900,198.0000,194.8500,197.9600,70400000.0000,0.0311,0.8693,0.0997,0.3760
